,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
0,261127,34in Ultrawide Monitor,1,379.99,11/01/19 01:49,"917 Madison St, Seattle, WA 98101"
1,261735,Bose SoundSport Headphones,1,99.99,11/01/19 00:10,"582 Spruce St, Atlanta, GA 30301"
2,262928,Lightning Charging Cable,1,14.95,11/01/19 02:33,"89 4th St, New York City, NY 10001"
3,263162,AAA Batteries (4-pack),1,2.99,11/01/19 00:09,"741 Dogwood St, Austin, TX 73301"
4,263619,Apple Airpods Headphones,1,150.0,11/01/19 01:45,"87 Sunset St, Atlanta, GA 30301"
5,264407,USB-C Charging Cable,1,11.95,11/01/19 00:34,"455 Walnut St, Portland, OR 97035"
6,266135,Google Phone,1,600.0,11/01/19 01:10,"551 Cherry St, Dallas, TX 75001"
7,268081,Bose SoundSport Headphones,1,99.99,11/01/19 02:15,"140 13th St, Atlanta, GA 30301"
8,268898,AAA Batteries (4-pack),1,2.99,11/01/19 00:24,"654 12th St, New York City, NY 10001"
9,271951,27in FHD Monitor,1,149.99,11/01/19 00:31,"817 Highland St, Portland, OR 97035"
10,272957,AA Batteries (4-pack),1,3.84,11/01/19 00:00,"125 Sunset St, Seattle, WA 98101"
11,273262,Flatscreen TV,1,300.0,11/01/19 01:26,"14 5th St, Portland, OR 97035"
12,273573,USB-C Charging Cable,1,11.95,11/01/19 00:34,"288 Lake St, Boston, MA 02215"
13,273655,Apple Airpods Headphones,1,150.0,11/01/19 01:58,"313 Jefferson St, New York City, NY 10001"
14,273751,iPhone,1,700.0,11/01/19 00:47,"678 4th St, San Francisco, CA 94016"
15,273751,Apple Airpods Headphones,1,150.0,11/01/19 00:47,"678 4th St, San Francisco, CA 94016"
16,273751,Wired Headphones,1,11.99,11/01/19 00:47,"678 4th St, San Francisco, CA 94016"
17,275201,AAA Batteries (4-pack),2,2.99,11/01/19 00:47,"859 Jefferson St, New York City, NY 10001"
18,275546,USB-C Charging Cable,2,11.95,11/01/19 02:38,"571 North St, Seattle, WA 98101"
19,275872,Apple Airpods Headphones,1,150.0,11/01/19 01:11,"939 South St, Los Angeles, CA 90001"
20,277647,27in 4K Gaming Monitor,1,389.99,11/01/19 02:15,"72 River St, Boston, MA 02215"
21,277939,Bose SoundSport Headphones,1,99.99,11/01/19 01:44,"430 Elm St, Los Angeles, CA 90001"
22,278797,Wired Headphones,1,11.99,11/21/19 09:54,"46 Park St, New York City, NY 10001"
23,278798,USB-C Charging Cable,2,11.95,11/17/19 10:03,"962 Hickory St, Austin, TX 73301"
24,278799,Apple Airpods Headphones,1,150.0,11/19/19 14:56,"464 Cherry St, Los Angeles, CA 90001"
25,278800,27in FHD Monitor,1,149.99,11/25/19 22:24,"649 10th St, Seattle, WA 98101"
26,278801,Bose SoundSport Headphones,1,99.99,11/09/19 13:56,"522 Hill St, Boston, MA 02215"
27,278802,USB-C Charging Cable,1,11.95,11/14/19 20:34,"154 2nd St, San Francisco, CA 94016"
28,278803,Lightning Charging Cable,1,14.95,11/11/19 08:05,"724 5th St, San Francisco, CA 94016"
29,278804,Bose SoundSport Headphones,1,99.99,11/15/19 11:48,"866 Sunset St, Austin, TX 73301"
30,278805,Lightning Charging Cable,1,14.95,11/27/19 11:50,"670 Elm St, San Francisco, CA 94016"
