,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
0,297150,Lightning Charging Cable,1,14.95,01/01/20 00:38,"427 Wilson St, Dallas, TX 75001"
1,297817,iPhone,1,700.0,01/01/20 00:22,"519 13th St, New York City, NY 10001"
2,297817,Lightning Charging Cable,2,14.95,01/01/20 00:22,"519 13th St, New York City, NY 10001"
3,297969,Google Phone,1,600.0,01/01/20 00:54,"542 2nd St, San Francisco, CA 94016"
4,298344,Wired Headphones,4,11.99,01/01/20 03:34,"731 7th St, New York City, NY 10001"
5,299049,Apple Airpods Headphones,1,150.0,01/01/20 01:17,"762 Johnson St, San Francisco, CA 94016"
6,299125,USB-C Charging Cable,1,11.95,01/01/20 04:21,"754 Hickory St, New York City, NY 10001"
7,300362,USB-C Charging Cable,1,11.95,01/01/20 00:59,"581 River St, San Francisco, CA 94016"
8,300519,Bose SoundSport Headphones,1,99.99,01/01/20 05:13,"657 Spruce St, New York City, NY 10001"
9,300519,Lightning Charging Cable,1,14.95,01/01/20 05:13,"657 Spruce St, New York City, NY 10001"
10,300759,20in Monitor,1,109.99,01/01/20 00:14,"193 5th St, Austin, TX 73301"
11,302393,Lightning Charging Cable,1,14.95,01/01/20 00:14,"108 Jefferson St, Boston, MA 02215"
12,304165,AAA Batteries (4-pack),1,2.99,01/01/20 04:13,"825 Adams St, Portland, OR 97035"
13,305538,Apple Airpods Headphones,1,150.0,01/01/20 01:00,"693 1st St, Portland, OR 97035"
14,305840,Bose SoundSport Headphones,1,99.99,01/01/20 04:54,"784 River St, San Francisco, CA 94016"
15,306655,ThinkPad Laptop,1,999.99,01/01/20 01:46,"431 Hickory St, Los Angeles, CA 90001"
16,306809,Macbook Pro Laptop,1,1700.0,01/01/20 02:20,"326 14th St, Dallas, TX 75001"
17,306928,ThinkPad Laptop,1,999.99,01/01/20 03:14,"762 Elm St, Boston, MA 02215"
18,307890,Lightning Charging Cable,1,14.95,01/01/20 02:06,"39 Pine St, New York City, NY 10001"
19,308185,27in FHD Monitor,1,149.99,01/01/20 04:06,"202 Maple St, San Francisco, CA 94016"
20,308322,Bose SoundSport Headphones,1,99.99,01/01/20 00:24,"362 Willow St, San Francisco, CA 94016"
21,310074,Apple Airpods Headphones,1,150.0,01/01/20 01:46,"636 Lakeview St, San Francisco, CA 94016"
22,311386,iPhone,1,700.0,01/01/20 00:10,"730 Pine St, San Francisco, CA 94016"
23,311386,Apple Airpods Headphones,1,150.0,01/01/20 00:10,"730 Pine St, San Francisco, CA 94016"
24,312012,27in FHD Monitor,1,149.99,01/01/20 02:12,"507 13th St, San Francisco, CA 94016"
25,312812,Flatscreen TV,1,300.0,01/01/20 01:56,"129 6th St, Boston, MA 02215"
26,314066,USB-C Charging Cable,1,11.95,01/01/20 01:52,"922 8th St, New York City, NY 10001"
27,314552,AAA Batteries (4-pack),1,2.99,01/01/20 01:47,"541 4th St, San Francisco, CA 94016"
28,315138,AAA Batteries (4-pack),3,2.99,01/01/20 00:51,"257 Adams St, New York City, NY 10001"
29,315315,27in 4K Gaming Monitor,1,389.99,01/01/20 01:22,"552 North St, Austin, TX 73301"
30,316833,Vareebadd Phone,1,400.0,01/01/20 02:58,"378 Elm St, New York City, NY 10001"
31,316867,27in FHD Monitor,1,149.99,01/01/20 01:05,"137 Madison St, Seattle, WA 98101"
32,319308,USB-C Charging Cable,1,11.95,01/01/20 03:13,"135 8th St, Boston, MA 02215"
33,319366,20in Monitor,2,109.99,01/01/20 00:45,"746 South St, San Francisco, CA 94016"
34,141234,iPhone,1,700.0,01/22/19 21:25,"944 Walnut St, Boston, MA 02215"
35,141235,Lightning Charging Cable,1,14.95,01/28/19 14:15,"185 Maple St, Portland, OR 97035"
36,141236,Wired Headphones,2,11.99,01/17/19 13:33,"538 Adams St, San Francisco, CA 94016"
37,141237,27in FHD Monitor,1,149.99,01/05/19 20:33,"738 10th St, Los Angeles, CA 90001"
38,141238,Wired Headphones,1,11.99,01/25/19 11:59,"387 10th St, Austin, TX 73301"
39,141239,AAA Batteries (4-pack),1,2.99,01/29/19 20:22,"775 Willow St, San Francisco, CA 94016"
40,141240,27in 4K Gaming Monitor,1,389.99,01/26/19 12:16,"979 Park St, Los Angeles, CA 90001"
